Repeat,Generation,X1,X2,F(x)
7,30,4.853437094682231389697335544042289257049560546875,-0.800335698481728030628801207058131694793701171875,186.6812378455248335740179754793643951416015625,
7,40,4.853437094682231389697335544042289257049560546875,-0.800335698481728030628801207058131694793701171875,186.6812378455248335740179754793643951416015625,
7,50,4.857099259937438517908958601765334606170654296875,-0.800335698481728030628801207058131694793701171875,186.72877166565905326933716423809528350830078125,
Repeat,Generation,X1,X2,F(x)
8,0,5.291065842679483210986290941946208477020263671875,-2.5127031357289997259840674814768135547637939453125,30.71816951630313496934832073748111724853515625,
8,10,5.5092698558022430432856708648614585399627685546875,-1.4573891813534753936210108804516494274139404296875,182.82205969224332875455729663372039794921875,
8,20,5.5080491340505073338817965122871100902557373046875,-1.4183260852979326926970315980724990367889404296875,185.229173277553314846954890526831150054931640625,
8,30,5.4897383077744716928236812236718833446502685546875,-1.4134431982909898550815341877751052379608154296875,186.307520192183801555074751377105712890625,
8,40,5.4885175860227359834198068710975348949432373046875,-1.4219882505531398209086546557955443859100341796875,186.6373491209709527538507245481014251708984375,
8,50,5.4830243381399252911023722845129668712615966796875,-1.4250400549324790944183405372314155101776123046875,186.7308339650338666615425609052181243896484375,
Repeat,Generation,X1,X2,F(x)
9,0,3.336079957274737495254157693125307559967041015625,-1.4876020447089342013669011066667735576629638671875,41.7165754704680011855089105665683746337890625,
9,10,-1.260852979324024403240400715731084346771240234375,-7.066300450141145716997925774194300174713134765625,124.4299111142685347886072122491896152496337890625,
9,20,-1.4345006485084308422983667696826159954071044921875,-7.077897306782634956334732123650610446929931640625,186.4574185640011592113296501338481903076171875,
9,30,-1.4238193331807433850144661846570670604705810546875,-7.084916456855115285407009650953114032745361328125,186.722518671390076860916451551020145416259765625,
9,40,-1.4253452353704130217693091253750026226043701171875,-7.083695735103379576003135298378765583038330078125,186.7307200706626417741063050925731658935546875,
9,50,-1.4253452353704130217693091253750026226043701171875,-7.083390554665445648652166710235178470611572265625,186.730769624115822580279200337827205657958984375,
Repeat,Generation,X1,X2,F(x)
10,0,-7.4914168001831082932540084584616124629974365234375,5.3331807431143669617767955060116946697235107421875,61.27405045973733876962796784937381744384765625,
10,10,4.832990005340658257182440138421952724456787109375,5.4207675288014041115047803032211959362030029296875,176.827187480053538592983386479318141937255859375,
10,20,4.843671320668345714466340723447501659393310546875,-7.087663080796520631565726944245398044586181640625,186.2128152597025518844020552933216094970703125,
10,30,4.843366140230411787115372135303914546966552734375,-7.085831998168917067459915415383875370025634765625,186.2184717316473552273237146437168121337890625,
10,40,4.843671320668345714466340723447501659393310546875,-7.085831998168917067459915415383875370025634765625,186.238994809384820428022067062556743621826171875,
10,50,4.843671320668345714466340723447501659393310546875,-7.085221637293049212757978239096701145172119140625,186.2444332940785898244939744472503662109375,
Repeat,Generation,X1,X2,F(x)
11,0,-7.90432593270771377547134761698544025421142578125,-1.025558861676966415643619257025420665740966796875,49.5783814085092302548218867741525173187255859375,
11,10,-1.4308384832532237140867437119595706462860107421875,-0.7716487373159370832809145213104784488677978515625,184.85007440586326765696867369115352630615234375,
11,20,-1.4256504158083469491202777135185897350311279296875,-0.793316548409247701556523679755628108978271484375,186.621973455117085904930718243122100830078125,
11,30,-1.4256504158083469491202777135185897350311279296875,-0.801556420233463740032675559632480144500732421875,186.72690108766170169474207796156406402587890625,
11,40,-1.4250400549324790944183405372314155101776123046875,-0.801251239795529812681706971488893032073974609375,186.728978526746544730485766194760799407958984375,
11,50,-1.4250400549324790944183405372314155101776123046875,-0.800946059357595885330738383345305919647216796875,186.730027452332393522738129831850528717041015625,
Repeat,Generation,X1,X2,F(x)
12,0,-7.011673151750972721174548496492207050323486328125,-8.825665674830244000759194022975862026214599609375,47.84585568392936494319656048901379108428955078125,
12,10,-1.288929579613945719529510824941098690032958984375,-0.6944380865186534634858617209829390048980712890625,125.401465759612818828827585093677043914794921875,
12,20,-1.318226901655602745222495286725461483001708984375,-0.7200732433051033609672231250442564487457275390625,148.1118929159860044819652102887630462646484375,
12,30,-1.4183260852979326926970315980724990367889404296875,-0.820172426947433308441759436391294002532958984375,185.750858153240272940820432268083095550537109375,
