Repeat,Generation,X1,X2,F(x)
3,0,-0.7071138645588543880649012862704694271087646484375,-1.361430707724235134037371608428657054901123046875,159.579693377864032299839891493320465087890625,
3,10,-7.0787682729575482909467609715647995471954345703125,-1.399884029663990503422610345296561717987060546875,185.187403099689390728599391877651214599609375,
3,20,-7.08548234504226837060514299082569777965545654296875,-1.405987731559189768404394271783530712127685546875,185.864255669521952540890197269618511199951171875,
3,30,-7.08426160466322851760878620552830398082733154296875,-1.405987731559189768404394271783530712127685546875,185.87159160494485377057571895420551300048828125,
3,40,-7.08426160466322851760878620552830398082733154296875,-1.4426099429303871346519372309558093547821044921875,186.02166544437199036110541783273220062255859375,
3,50,-7.08426160466322851760878620552830398082733154296875,-1.420636616107668004360675695352256298065185546875,186.682562462102936251540086232125759124755859375,
Repeat,Generation,X1,X2,F(x)
4,0,6.136967070528275058904910110868513584136962890625,5.5046235541856134432237013243138790130615234375,118.4736962356654856876048143021762371063232421875,
4,10,-7.1947386089663378783143343753181397914886474609375,-7.71416364024781042729728142148815095424652099609375,159.68933110171388989328988827764987945556640625,
4,20,-7.0775475325785084379504041862674057483673095703125,-7.71416364024781042729728142148815095424652099609375,186.57293711333687724618357606232166290283203125,
4,30,-7.08487197485274844410696459817700088024139404296875,-7.7050080874050106416461858316324651241302490234375,186.701294930300178975812741555273532867431640625,
4,40,-7.08426160466322851760878620552830398082733154296875,-7.7092806787316501271334345801733434200286865234375,186.72746989713783705155947245657444000244140625,
4,50,-7.08365123447370859111060781287960708141326904296875,-7.7092806787316501271334345801733434200286865234375,186.728683979267003678614855743944644927978515625,
Repeat,Generation,X1,X2,F(x)
5,0,-1.388286996063111899957220884971320629119873046875,8.4508804589983839150590938515961170196533203125,25.220335680452055981959347263909876346588134765625,
5,10,-1.405987731559189768404394271783530712127685546875,-7.0775475325785084379504041862674057483673095703125,185.7948132476070668417378328740596771240234375,
5,20,4.844813379314555135124464868567883968353271484375,-7.0775475325785084379504041862674057483673095703125,186.24571222074092702314374037086963653564453125,
5,30,4.859462263863033371080746292136609554290771484375,-7.08426160466322851760878620552830398082733154296875,186.72504313230405159629299305379390716552734375,
5,40,4.859462263863033371080746292136609554290771484375,-7.08365123447370859111060781287960708141326904296875,186.72625719865465043767471797764301300048828125,
5,50,4.858851893673513444582567899487912654876708984375,-7.08365123447370859111060781287960708141326904296875,186.7293890228128248054417781531810760498046875,
Repeat,Generation,X1,X2,F(x)
6,0,-7.7068391979735704211407210095785558223724365234375,-0.5795464949491861972319384221918880939483642578125,93.8947151247951836694483063183724880218505859375,
6,10,-7.7074495681630903476388994022272527217864990234375,-0.957976012451553060600417666137218475341796875,133.7857847683507088731857948005199432373046875,
6,20,-7.71233252967925064780274624354206025600433349609375,-0.9378337961973937098036913084797561168670654296875,145.962259081694270435036742128431797027587890625,
6,30,-7.6989043855098113766644019051454961299896240234375,-7.1886349070711386133325504488311707973480224609375,162.401410730366478674113750457763671875,
6,40,-7.7050080874050106416461858316324651241302490234375,-0.7083346049378942410612580715678632259368896484375,168.62309362894717423841939307749271392822265625,
6,50,-7.71782586138492998628635177738033235073089599609375,-0.8011108737449266214980525546707212924957275390625,186.519301330498279867242672480642795562744140625,
Repeat,Generation,X1,X2,F(x)
7,0,-7.14224677266762331129257290740497410297393798828125,4.7007660145878471524838460027240216732025146484375,129.47403078985365709741017781198024749755859375,
7,10,-7.120273445844905069179731071926653385162353515625,4.857020783104953665088032721541821956634521484375,183.735029609640861281150137074291706085205078125,
7,20,-7.0641193884090700549904795479960739612579345703125,4.861903744621113077073459862731397151947021484375,185.8690025062293216251418925821781158447265625,
7,30,-7.0769371623889885114522257936187088489532470703125,4.859462263863033371080746292136609554290771484375,186.631040517736920492097851820290088653564453125,
7,40,-7.08792382580034807659785656142048537731170654296875,4.859462263863033371080746292136609554290771484375,186.683157682355471251867129467427730560302734375,
7,50,-7.08548234504226837060514299082569777965545654296875,4.858851893673513444582567899487912654876708984375,186.720805193251095488449209369719028472900390625,
Repeat,Generation,X1,X2,F(x)
8,0,-1.658680990020446444077606429345905780792236328125,5.5528427991576894129366337438113987445831298828125,78.480071856957664522269624285399913787841796875,
8,10,-1.385235145115512267466328921727836132049560546875,5.5473494674520100744530282099731266498565673828125,174.1570040508312331439810805022716522216796875,
8,20,-1.425519577623827416346102836541831493377685546875,5.4771568956572167508056736551225185394287109375,186.658517546229319350459263660013675689697265625,
8,30,-1.425519577623827416346102836541831493377685546875,5.4771568956572167508056736551225185394287109375,186.658517546229319350459263660013675689697265625,
8,40,-1.425519577623827416346102836541831493377685546875,5.4832605975524160157874575816094875335693359375,186.730205083897459417130448855459690093994140625,
8,50,-1.425519577623827416346102836541831493377685546875,5.4826502273628960892892791889607906341552734375,186.730451099187348518171347677707672119140625,
Repeat,Generation,X1,X2,F(x)
9,0,-0.0332651753288377705075617996044456958770751953125,5.613269447920163912613134016282856464385986328125,65.5964583255008761852877796627581119537353515625,
9,10,-1.4438306833094269876482940162532031536102294921875,-0.896328623310036931570721208117902278900146484375,165.805946053356109359810943715274333953857421875,
9,20,-1.421857356486707857357032480649650096893310546875,5.4905850398266551337655982933938503265380859375,186.57439830123979618292651139199733734130859375,
9,30,-1.421857356486707857357032480649650096893310546875,5.4905850398266551337655982933938503265380859375,186.57439830123979618292651139199733734130859375,
9,40,-1.421857356486707857357032480649650096893310546875,5.4893642994476152807692415080964565277099609375,186.6126878028999271919019520282745361328125,
9,50,-1.421246986297187930858854088000953197479248046875,5.4808191167943363097947440110146999359130859375,186.68651259103290840357658453285694122314453125,
Repeat,Generation,X1,X2,F(x)
10,0,-7.09524826807458719457599727320484817028045654296875,-8.8128299813837092102630776935257017612457275390625,51.551841221579564944477169774472713470458984375,
10,10,5.5223242896816930880277141113765537738800048828125,4.824671163060397560684577911160886287689208984375,180.80414793369305925807566381990909576416015625,
10,20,5.4734946745200971918166032992303371429443359375,4.841761528366955502633572905324399471282958984375,185.9218818870759832861949689686298370361328125,
10,30,5.4783776360362566038020304404199123382568359375,4.842982268745995355629929690621793270111083984375,186.159588919090566605518688447773456573486328125,
10,40,5.4832605975524160157874575816094875335693359375,4.860683004242073224077103077434003353118896484375,186.714475541116115664408425800502300262451171875,
10,50,5.4832605975524160157874575816094875335693359375,4.860072634052553297578924684785306453704833984375,186.72108578130251999027677811682224273681640625,
Repeat,Generation,X1,X2,F(x)
11,0,-5.92577898495437427328624835354276001453399658203125,6.152836695455793147857548319734632968902587890625,30.35546359299451069091446697711944580078125,
