Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
0,0,-2.349176470588235421388390022912062704563140869140625,2.5098039215686274161498658941127359867095947265625,-0.5822745098039217026553160394541919231414794921875,-0.301176470588234934666616027243435382843017578125,-0.5019607843137254832299731788225471973419189453125,-3.5940392156862746020351551123894751071929931640625,0.98384313725490191160361064248718321323394775390625,2.02792156862745098777622843044809997081756591796875,0.4216470588235292638046303181909024715423583984375,1.94760784313725476835088556981645524501800537109375,-34.46795495886197358004210400395095348358154296875,
0,10,-0.6625882352941179220806589000858366489410400390625,-1.867294117647058993014752559247426688671112060546875,-1.4657254901960783399772481061518192291259765625,-0.301176470588234934666616027243435382843017578125,-0.54211764705882359294264460913836956024169921875,-0.06023529411764716456900714547373354434967041015625,0.6625882352941179220806589000858366489410400390625,2.02792156862745098777622843044809997081756591796875,0.3413333333333330443792874575592577457427978515625,0.86337254901960847064401605166494846343994140625,-11.8757984652056922669771665823645889759063720703125,
0,20,-0.6625882352941179220806589000858366489410400390625,-0.5019607843137254832299731788225471973419189453125,-1.425568627450980674353786525898613035678863525390625,-0.22086274509803871524127316661179065704345703125,0.50196078431372637140839287894777953624725341796875,-0.06023529411764716456900714547373354434967041015625,0.98384313725490191160361064248718321323394775390625,0.74290196078431325332758206059224903583526611328125,0.3413333333333330443792874575592577457427978515625,0.6625882352941179220806589000858366489410400390625,-5.1029892379853922790289288968779146671295166015625,
0,30,-0.6625882352941179220806589000858366489410400390625,-0.5019607843137254832299731788225471973419189453125,-1.3452549019607840108392338152043521404266357421875,-0.22086274509803871524127316661179065704345703125,0.50196078431372637140839287894777953624725341796875,-0.06023529411764716456900714547373354434967041015625,0.3413333333333330443792874575592577457427978515625,-0.381490196078431154091958887875080108642578125,0.1003921568627443861032588756643235683441162109375,0.6625882352941179220806589000858366489410400390625,-3.5162167904652061878323365817777812480926513671875,
0,40,-0.3413333333333330443792874575592577457427978515625,-0.18070588235294149370702143642120063304901123046875,-0.14054901960784338399435000610537827014923095703125,-0.22086274509803871524127316661179065704345703125,0.50196078431372637140839287894777953624725341796875,-0.06023529411764716456900714547373354434967041015625,0.3413333333333330443792874575592577457427978515625,-0.54211764705882359294264460913836956024169921875,0.1003921568627443861032588756643235683441162109375,0.4216470588235292638046303181909024715423583984375,-1.071555174163783430429930376703850924968719482421875,
0,50,-0.3413333333333330443792874575592577457427978515625,-0.18070588235294149370702143642120063304901123046875,-0.06023529411764716456900714547373354434967041015625,-0.22086274509803871524127316661179065704345703125,0.3413333333333330443792874575592577457427978515625,-0.06023529411764716456900714547373354434967041015625,0.3413333333333330443792874575592577457427978515625,-0.54211764705882359294264460913836956024169921875,0.1003921568627443861032588756643235683441162109375,0.1003921568627443861032588756643235683441162109375,-0.75226559630911093989880100707523524761199951171875,
Repeat,Generation,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,F(x)
1,0,-1.5861960784313726691152623970992863178253173828125,-0.5019607843137254832299731788225471973419189453125,2.3491764705882349772991801728494465351104736328125,0.5822745098039217026553160394541919231414794921875,0.1003921568627443861032588756643235683441162109375,0.18070588235294149370702143642120063304901123046875,-0.06023529411764716456900714547373354434967041015625,-0.22086274509803871524127316661179065704345703125,0.54211764705882359294264460913836956024169921875,4.55780392156862657060401033959351480007171630859375,-29.788266297577848717992310412228107452392578125,
1,10,-0.14054901960784338399435000610537827014923095703125,-0.54211764705882359294264460913836956024169921875,2.3491764705882349772991801728494465351104736328125,0.5822745098039217026553160394541919231414794921875,0.1003921568627443861032588756643235683441162109375,0.18070588235294149370702143642120063304901123046875,-0.06023529411764716456900714547373354434967041015625,-0.22086274509803871524127316661179065704345703125,0.22086274509803960341969286673702299594879150390625,-0.94368627450980380189093921217136085033416748046875,-7.20578524567473888140511917299591004848480224609375,
1,20,0.26101960784313771313236429705284535884857177734375,-0.5019607843137254832299731788225471973419189453125,0.74290196078431325332758206059224903583526611328125,0.5822745098039217026553160394541919231414794921875,0.1003921568627443861032588756643235683441162109375,0.54211764705882359294264460913836956024169921875,-0.06023529411764716456900714547373354434967041015625,-0.26101960784313771313236429705284535884857177734375,-0.301176470588234934666616027243435382843017578125,-0.94368627450980380189093921217136085033416748046875,-2.56802349865436330134116360568441450595855712890625,
