Repeat,Generation,X1,X2,F(x)
3,0,6.2352941176470579875967814587056636810302734375,-0.6666666666666660745477201999165117740631103515625,70.1760192354120562185926246456801891326904296875,
3,10,-1.372549019607841813694903976283967494964599609375,5.5294117647058822484495976823382079601287841796875,175.661658982242755655533983372151851654052734375,
3,20,-7.72549019607843145962533526471816003322601318359375,5.5294117647058822484495976823382079601287841796875,181.333021364477673387227696366608142852783203125,
3,30,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
3,40,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
3,50,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
4,0,-2,-7.80392156862745078882426241762004792690277099609375,70.735649504277745336366933770477771759033203125,
4,10,-0.7450980392156854037466473528183996677398681640625,-7.72549019607843145962533526471816003322601318359375,179.434139868986989085897221229970455169677734375,
4,20,-0.7450980392156854037466473528183996677398681640625,-7.72549019607843145962533526471816003322601318359375,179.434139868986989085897221229970455169677734375,
4,30,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
4,40,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
4,50,-7.098039215686274161498658941127359867095947265625,-7.72549019607843145962533526471816003322601318359375,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
5,0,6.156862745098038658397854305803775787353515625,-0.6666666666666660745477201999165117740631103515625,92.118932349906799572636373341083526611328125,
5,10,-7.72549019607843145962533526471816003322601318359375,-0.823529411764706509302413905970752239227294921875,184.858993530578487707316526211798191070556640625,
5,20,-7.72549019607843145962533526471816003322601318359375,-0.823529411764706509302413905970752239227294921875,184.858993530578487707316526211798191070556640625,
5,30,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
5,40,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
5,50,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
6,0,-6.4705882352941177515504023176617920398712158203125,-0.6666666666666660745477201999165117740631103515625,98.922431356459156859273207373917102813720703125,
