Repeat,Generation,X1,F(x)
0,0,101111011011010111101111100010110001101100000011110000001110,41,
0,10,111111111111111111011111111110111111111101010111111111111111,55,
0,20,111111111111111111111111111111111111111111111111111111111111,60,
0,30,111111111111111111111111111111111111111111111111111111111111,60,
0,40,111111111111111111111111111111111111111111111111111111111111,60,
0,50,111111111111111111111111111111111111111111111111111111111111,60,
0,60,111111111111111111111111111111111111111111111111111111111111,60,
0,70,111111111111111111111111111111111111111111111111111111111111,60,
0,80,111111111111111111111111111111111111111111111111111111111111,60,
0,90,111111111111111111111111111111111111111111111111111111111111,60,
0,100,111111111111111111111111111111111111111111111111111111111111,60,
0,110,111111111111111111111111111111111111111111111111111111111111,60,
0,120,111111111111111111111111111111111111111111111111111111111111,60,
0,130,111111111111111111111111111111111111111111111111111111111111,60,
0,140,111111111111111111111111111111111111111111111111111111111111,60,
0,150,111111111111111111111111111111111111111111111111111111111111,60,
0,160,111111111111111111111111111111111111111111111111111111111111,60,
0,170,111111111111111111111111111111111111111111111111111111111111,60,
0,180,111111111111111111111111111111111111111111111111111111111111,60,
0,190,111111111111111111111111111111111111111111111111111111111111,60,
0,200,111111111111111111111111111111111111111111111111111111111111,60,
0,210,111111111111111111111111111111111111111111111111111111111111,60,
0,220,111111111111111111111111111111111111111111111111111111111111,60,
0,230,111111111111111111111111111111111111111111111111111111111111,60,
0,240,111111111111111111111111111111111111111111111111111111111111,60,
0,250,111111111111111111111111111111111111111111111111111111111111,60,
0,260,111111111111111111111111111111111111111111111111111111111111,60,
0,270,111111111111111111111111111111111111111111111111111111111111,60,
0,280,111111111111111111111111111111111111111111111111111111111111,60,
0,290,111111111111111111111111111111111111111111111111111111111111,60,
0,300,111111111111111111111111111111111111111111111111111111111111,60,
0,310,111111111111111111111111111111111111111111111111111111111111,60,
0,320,111111111111111111111111111111111111111111111111111111111111,60,
0,330,111111111111111111111111111111111111111111111111111111111111,60,
0,340,111111111111111111111111111111111111111111111111111111111111,60,
0,350,111111111111111111111111111111111111111111111111111111111111,60,
0,360,111111111111111111111111111111111111111111111111111111111111,60,
0,370,111111111111111111111111111111111111111111111111111111111111,60,
0,380,111111111111111111111111111111111111111111111111111111111111,60,
0,390,111111111111111111111111111111111111111111111111111111111111,60,
0,400,111111111111111111111111111111111111111111111111111111111111,60,
0,410,111111111111111111111111111111111111111111111111111111111111,60,
0,420,111111111111111111111111111111111111111111111111111111111111,60,
0,430,111111111111111111111111111111111111111111111111111111111111,60,
0,440,111111111111111111111111111111111111111111111111111111111111,60,
0,450,111111111111111111111111111111111111111111111111111111111111,60,
0,460,111111111111111111111111111111111111111111111111111111111111,60,
0,470,111111111111111111111111111111111111111111111111111111111111,60,
0,480,111111111111111111111111111111111111111111111111111111111111,60,
0,490,111111111111111111111111111111111111111111111111111111111111,60,
0,500,111111111111111111111111111111111111111111111111111111111111,60,
0,510,111111111111111111111111111111111111111111111111111111111111,60,
0,520,111111111111111111111111111111111111111111111111111111111111,60,
0,530,111111111111111111111111111111111111111111111111111111111111,60,
0,540,111111111111111111111111111111111111111111111111111111111111,60,
0,550,111111111111111111111111111111111111111111111111111111111111,60,
0,560,111111111111111111111111111111111111111111111111111111111111,60,
0,570,111111111111111111111111111111111111111111111111111111111111,60,
0,580,111111111111111111111111111111111111111111111111111111111111,60,
0,590,111111111111111111111111111111111111111111111111111111111111,60,
0,600,111111111111111111111111111111111111111111111111111111111111,60,
0,610,111111111111111111111111111111111111111111111111111111111111,60,
0,620,111111111111111111111111111111111111111111111111111111111111,60,
0,630,111111111111111111111111111111111111111111111111111111111111,60,
0,640,111111111111111111111111111111111111111111111111111111111111,60,
0,650,111111111111111111111111111111111111111111111111111111111111,60,
0,660,111111111111111111111111111111111111111111111111111111111111,60,
0,670,111111111111111111111111111111111111111111111111111111111111,60,
0,680,111111111111111111111111111111111111111111111111111111111111,60,
0,690,111111111111111111111111111111111111111111111111111111111111,60,
0,700,111111111111111111111111111111111111111111111111111111111111,60,
0,710,111111111111111111111111111111111111111111111111111111111111,60,
0,720,111111111111111111111111111111111111111111111111111111111111,60,
0,730,111111111111111111111111111111111111111111111111111111111111,60,
0,740,111111111111111111111111111111111111111111111111111111111111,60,
0,750,111111111111111111111111111111111111111111111111111111111111,60,
0,760,111111111111111111111111111111111111111111111111111111111111,60,
0,770,111111111111111111111111111111111111111111111111111111111111,60,
0,780,111111111111111111111111111111111111111111111111111111111111,60,
0,790,111111111111111111111111111111111111111111111111111111111111,60,
0,800,111111111111111111111111111111111111111111111111111111111111,60,
0,810,111111111111111111111111111111111111111111111111111111111111,60,
0,820,111111111111111111111111111111111111111111111111111111111111,60,
0,830,111111111111111111111111111111111111111111111111111111111111,60,
0,840,111111111111111111111111111111111111111111111111111111111111,60,
0,850,111111111111111111111111111111111111111111111111111111111111,60,
0,860,111111111111111111111111111111111111111111111111111111111111,60,
0,870,111111111111111111111111111111111111111111111111111111111111,60,
0,880,111111111111111111111111111111111111111111111111111111111111,60,
0,890,111111111111111111111111111111111111111111111111111111111111,60,
0,900,111111111111111111111111111111111111111111111111111111111111,60,
0,910,111111111111111111111111111111111111111111111111111111111111,60,
0,920,111111111111111111111111111111111111111111111111111111111111,60,
0,930,111111111111111111111111111111111111111111111111111111111111,60,
0,940,111111111111111111111111111111111111111111111111111111111111,60,
0,950,111111111111111111111111111111111111111111111111111111111111,60,
0,960,111111111111111111111111111111111111111111111111111111111111,60,
0,970,111111111111111111111111111111111111111111111111111111111111,60,
0,980,111111111111111111111111111111111111111111111111111111111111,60,
0,990,111111111111111111111111111111111111111111111111111111111111,60,
0,1000,111111111111111111111111111111111111111111111111111111111111,60,
Repeat,Generation,X1,F(x)
1,0,110111111100111100101100000000100001110011110011101111110001,38,
1,10,111111111111111111011111101111111111111100110111111111110111,54,
1,20,111111111111111111111111111111111111111111111111111111111111,60,
1,30,111111111111111111111111111111111111111111111111111111111111,60,
1,40,111111111111111111111111111111111111111111111111111111111111,60,
1,50,111111111111111111111111111111111111111111111111111111111111,60,
1,60,111111111111111111111111111111111111111111111111111111111111,60,
1,70,111111111111111111111111111111111111111111111111111111111111,60,
1,80,111111111111111111111111111111111111111111111111111111111111,60,
1,90,111111111111111111111111111111111111111111111111111111111111,60,
1,100,111111111111111111111111111111111111111111111111111111111111,60,
1,110,111111111111111111111111111111111111111111111111111111111111,60,
1,120,111111111111111111111111111111111111111111111111111111111111,60,
1,130,111111111111111111111111111111111111111111111111111111111111,60,
1,140,111111111111111111111111111111111111111111111111111111111111,60,
1,150,111111111111111111111111111111111111111111111111111111111111,60,
1,160,111111111111111111111111111111111111111111111111111111111111,60,
1,170,111111111111111111111111111111111111111111111111111111111111,60,
1,180,111111111111111111111111111111111111111111111111111111111111,60,
1,190,111111111111111111111111111111111111111111111111111111111111,60,
1,200,111111111111111111111111111111111111111111111111111111111111,60,
1,210,111111111111111111111111111111111111111111111111111111111111,60,
1,220,111111111111111111111111111111111111111111111111111111111111,60,
1,230,111111111111111111111111111111111111111111111111111111111111,60,
1,240,111111111111111111111111111111111111111111111111111111111111,60,
1,250,111111111111111111111111111111111111111111111111111111111111,60,
1,260,111111111111111111111111111111111111111111111111111111111111,60,
1,270,111111111111111111111111111111111111111111111111111111111111,60,
1,280,111111111111111111111111111111111111111111111111111111111111,60,
1,290,111111111111111111111111111111111111111111111111111111111111,60,
1,300,111111111111111111111111111111111111111111111111111111111111,60,
1,310,111111111111111111111111111111111111111111111111111111111111,60,
1,320,111111111111111111111111111111111111111111111111111111111111,60,
1,330,111111111111111111111111111111111111111111111111111111111111,60,
1,340,111111111111111111111111111111111111111111111111111111111111,60,
1,350,111111111111111111111111111111111111111111111111111111111111,60,
1,360,111111111111111111111111111111111111111111111111111111111111,60,
1,370,111111111111111111111111111111111111111111111111111111111111,60,
1,380,111111111111111111111111111111111111111111111111111111111111,60,
1,390,111111111111111111111111111111111111111111111111111111111111,60,
1,400,111111111111111111111111111111111111111111111111111111111111,60,
1,410,111111111111111111111111111111111111111111111111111111111111,60,
1,420,111111111111111111111111111111111111111111111111111111111111,60,
1,430,111111111111111111111111111111111111111111111111111111111111,60,
1,440,111111111111111111111111111111111111111111111111111111111111,60,
1,450,111111111111111111111111111111111111111111111111111111111111,60,
1,460,111111111111111111111111111111111111111111111111111111111111,60,
1,470,111111111111111111111111111111111111111111111111111111111111,60,
1,480,111111111111111111111111111111111111111111111111111111111111,60,
1,490,111111111111111111111111111111111111111111111111111111111111,60,
1,500,111111111111111111111111111111111111111111111111111111111111,60,
1,510,111111111111111111111111111111111111111111111111111111111111,60,
1,520,111111111111111111111111111111111111111111111111111111111111,60,
1,530,111111111111111111111111111111111111111111111111111111111111,60,
1,540,111111111111111111111111111111111111111111111111111111111111,60,
1,550,111111111111111111111111111111111111111111111111111111111111,60,
1,560,111111111111111111111111111111111111111111111111111111111111,60,
1,570,111111111111111111111111111111111111111111111111111111111111,60,
1,580,111111111111111111111111111111111111111111111111111111111111,60,
1,590,111111111111111111111111111111111111111111111111111111111111,60,
1,600,111111111111111111111111111111111111111111111111111111111111,60,
1,610,111111111111111111111111111111111111111111111111111111111111,60,
1,620,111111111111111111111111111111111111111111111111111111111111,60,
1,630,111111111111111111111111111111111111111111111111111111111111,60,
1,640,111111111111111111111111111111111111111111111111111111111111,60,
1,650,111111111111111111111111111111111111111111111111111111111111,60,
1,660,111111111111111111111111111111111111111111111111111111111111,60,
1,670,111111111111111111111111111111111111111111111111111111111111,60,
1,680,111111111111111111111111111111111111111111111111111111111111,60,
1,690,111111111111111111111111111111111111111111111111111111111111,60,
1,700,111111111111111111111111111111111111111111111111111111111111,60,
1,710,111111111111111111111111111111111111111111111111111111111111,60,
1,720,111111111111111111111111111111111111111111111111111111111111,60,
1,730,111111111111111111111111111111111111111111111111111111111111,60,
1,740,111111111111111111111111111111111111111111111111111111111111,60,
1,750,111111111111111111111111111111111111111111111111111111111111,60,
1,760,111111111111111111111111111111111111111111111111111111111111,60,
1,770,111111111111111111111111111111111111111111111111111111111111,60,
1,780,111111111111111111111111111111111111111111111111111111111111,60,
1,790,111111111111111111111111111111111111111111111111111111111111,60,
1,800,111111111111111111111111111111111111111111111111111111111111,60,
1,810,111111111111111111111111111111111111111111111111111111111111,60,
1,820,111111111111111111111111111111111111111111111111111111111111,60,
1,830,111111111111111111111111111111111111111111111111111111111111,60,
1,840,111111111111111111111111111111111111111111111111111111111111,60,
1,850,111111111111111111111111111111111111111111111111111111111111,60,
1,860,111111111111111111111111111111111111111111111111111111111111,60,
1,870,111111111111111111111111111111111111111111111111111111111111,60,
1,880,111111111111111111111111111111111111111111111111111111111111,60,
1,890,111111111111111111111111111111111111111111111111111111111111,60,
1,900,111111111111111111111111111111111111111111111111111111111111,60,
1,910,111111111111111111111111111111111111111111111111111111111111,60,
1,920,111111111111111111111111111111111111111111111111111111111111,60,
1,930,111111111111111111111111111111111111111111111111111111111111,60,
1,940,111111111111111111111111111111111111111111111111111111111111,60,
1,950,111111111111111111111111111111111111111111111111111111111111,60,
1,960,111111111111111111111111111111111111111111111111111111111111,60,
1,970,111111111111111111111111111111111111111111111111111111111111,60,
1,980,111111111111111111111111111111111111111111111111111111111111,60,
1,990,111111111111111111111111111111111111111111111111111111111111,60,
1,1000,111111111111111111111111111111111111111111111111111111111111,60,
Repeat,Generation,X1,F(x)
2,0,101100010111000111110000010110111011111001100100011011101101,40,
2,10,111111111111110111111111111111111111111111111111101111111111,58,
2,20,111111111111111111111111111111111111111111111111111111111111,60,
2,30,111111111111111111111111111111111111111111111111111111111111,60,
2,40,111111111111111111111111111111111111111111111111111111111111,60,
2,50,111111111111111111111111111111111111111111111111111111111111,60,
2,60,111111111111111111111111111111111111111111111111111111111111,60,
2,70,111111111111111111111111111111111111111111111111111111111111,60,
2,80,111111111111111111111111111111111111111111111111111111111111,60,
2,90,111111111111111111111111111111111111111111111111111111111111,60,
2,100,111111111111111111111111111111111111111111111111111111111111,60,
2,110,111111111111111111111111111111111111111111111111111111111111,60,
2,120,111111111111111111111111111111111111111111111111111111111111,60,
2,130,111111111111111111111111111111111111111111111111111111111111,60,
2,140,111111111111111111111111111111111111111111111111111111111111,60,
2,150,111111111111111111111111111111111111111111111111111111111111,60,
2,160,111111111111111111111111111111111111111111111111111111111111,60,
2,170,111111111111111111111111111111111111111111111111111111111111,60,
2,180,111111111111111111111111111111111111111111111111111111111111,60,
2,190,111111111111111111111111111111111111111111111111111111111111,60,
2,200,111111111111111111111111111111111111111111111111111111111111,60,
2,210,111111111111111111111111111111111111111111111111111111111111,60,
2,220,111111111111111111111111111111111111111111111111111111111111,60,
2,230,111111111111111111111111111111111111111111111111111111111111,60,
2,240,111111111111111111111111111111111111111111111111111111111111,60,
2,250,111111111111111111111111111111111111111111111111111111111111,60,
2,260,111111111111111111111111111111111111111111111111111111111111,60,
2,270,111111111111111111111111111111111111111111111111111111111111,60,
